lang	long	lat
Arrernte	134.260923175232	-23.9127697525627
Luritja	133.151902804255	-24.9470849721359
Kaytetye	134.069502508489	-21.0198740872481
Ngaliya	131.186712606935	-21.808698092336
Pintupi	127.581703099289	-23.3700968383628
Marramaninyshi	130.418203909833	-13.9705667881389
Walmajarri	126.151251759487	-19.4673731711322
Warumungu	134.505181848425	-19.6027126648448
Warlpiri	131.052409283613	-20.4335956054956
Wakaya	136.169147220595	-20.1529075946353
Kunwinjku	133.48273449547	-12.1735063019109
Mawng	133.364007676024	-11.8138982548734
Murngin	135.580	-12.789
Murngin	135.580	-12.789
Murngin	135.580	-12.789
Warlmanpa	132.871007267824	-19.2496265357733
Alyawarr	135.534446335633	-21.9483709976404
Mudburra	131.909622701527	-17.440310056236
Gurindji	129.807598443395	-17.4621128166872
Marungun	134.863497774771	-12.3378940596197
Jaru	128.227577473162	-18.5172897174115
Jaru	128.227577473162	-18.5172897174115
Kunwinjku	133.48273449547	-12.1735063019109
Kunbarlang	133.893891122649	-11.9322461582711
Iwaidja	132.696220185069	-11.6129471827363
Ndjebbana	134.274382555184	-12.1555482006342
Nakkara	134.364220355412	-12.0844571279
Mawng	133.364007676024	-11.8138982548734
Marrgu	132.560240028875	-11.1576632947812
Mengerrdji	133.023775869697	-12.3509746245186
Ayerrerenge	137.415426862566	-21.3938108305158
Wakaya	136.169147220595	-20.1529075946353
Jingulu	133.701512863163	-17.3507652675492
Luritja	133.151902804255	-24.9470849721359
Murrinhpatha	130.003464215954	-14.7473463469643
Wardaman	131.526997469081	-15.3569280627995
Murrinhpatha	130.003464215954	-14.7473463469643
Jaminjung	130.390302298909	-15.1540282883812
Gurindji	129.807598443395	-17.4621128166872
Arrernte	134.260923175232	-23.9127697525627
Anmatyerre	133.262252901197	-22.2546527604039
Anmatyerre	133.262252901197	-22.2546527604039
Warumungu	134.505181848425	-19.6027126648448
Jingulu	133.701512863163	-17.3507652675492
Wambaya	135.431050102664	-18.1730553063265
Gurdanji	135.255653041173	-16.9806170019044
Binbinga	136.045713148444	-16.3613651166295
Alawa	134.479586436952	-15.5236738246179
Anmatyerre	133.262252901197	-22.2546527604039
Arrernte	134.260923175232	-23.9127697525627
Arrernte	134.260923175232	-23.9127697525627
Kaytetye	134.069502508489	-21.0198740872481
Garrwa	137.273777445993	-16.8567779183512
Arrernte	134.260923175232	-23.9127697525627
Warumungu	134.505181848425	-19.6027126648448
Anmatyerre	133.262252901197	-22.2546527604039
Warlmanpa	132.871007267824	-19.2496265357733
Wakaya	136.169147220595	-20.1529075946353
Warlpiri	131.052409283613	-20.4335956054956
Mudburra	131.909622701527	-17.440310056236
Mudburra	131.909622701527	-17.440310056236
Mudburra	131.909622701527	-17.440310056236
Warumungu	134.505181848425	-19.6027126648448
Jingulu	133.701512863163	-17.3507652675492
Wambaya	135.431050102664	-18.1730553063265
Gurdanji	135.255653041173	-16.9806170019044
Mudburra	131.909622701527	-17.440310056236
Wakaya	136.169147220595	-20.1529075946353
Ngalakgan	134.270752949714	-14.2839924593453
Waanyi	137.620870640305	-18.3132416393874
Garrwa	137.273777445993	-16.8567779183512
Alawa	134.479586436952	-15.5236738246179
Gurdanji	135.255653041173	-16.9806170019044
Jawoyn	133.038460833018	-13.8973004065844
Mangarrayi	133.619154485475	-14.8912465919336
Ngaliwurru	130.542327215571	-16.07262772334
Kukatja (NT)	131.428067717161	-24.042795063161
Ngardi	129.046456227915	-20.7093038556727
Ngan'giwumirri	130.461310639615	-14.2456392832096
Dalabon	134.029309036443	-13.3162554955191
Lardil	139.458891344919	-16.5643139813705
Pintupi	127.581703099289	-23.3700968383628
Ganggalida	138.751317122597	-17.3412318083925
Garrwa	137.273777445993	-16.8567779183512
Kija	127.391050818284	-17.4239872044784
Gooniyandi	126.179024039664	-18.5909699091646
Jaminjung	130.390302298909	-15.1540282883812
Miriwoong	128.867674022374	-15.8862973469758
Ngarnga	134.826276848856	-16.4516713651128
Nungali	130.857093331834	-15.5901784284657
Yanyuwa	136.807861124001	-15.8020810686736
Bininj Gun-Wok	133.556635938005	-12.5779958654235
Ngaliya	131.186712606935	-21.808698092336
Rembarrnga	134.454108139928	-13.2310285539369
Ngaliwurru	130.542327215571	-16.07262772334
Binbinga	136.045713148444	-16.3613651166295
Pintupi	127.581703099289	-23.3700968383628
Wakaya	136.169147220595	-20.1529075946353
Wambaya	135.431050102664	-18.1730553063265
Warumungu	134.505181848425	-19.6027126648448
Ndjebbana	134.274382555184	-12.1555482006342
Burarra	134.580709562797	-12.1617707460657
Burarra	134.580709562797	-12.1617707460657
Nakkara	134.364220355412	-12.0844571279
Kuwarranyji	132.336562193456	-16.7209403469244
Mudburra	131.909622701527	-17.440310056236
Ngalakgan	134.270752949714	-14.2839924593453
Ngarinyman	130.25517727725	-16.5903800846179
Malngin	129.353716441872	-17.2351538117033
Nyininy	128.585672650668	-18.0693398265703
Kija	127.391050818284	-17.4239872044784
Warlmanpa	132.871007267824	-19.2496265357733
Mudburra	131.909622701527	-17.440310056236
Warumungu	134.505181848425	-19.6027126648448
Warlpiri	131.052409283613	-20.4335956054956
Mangarrayi	133.619154485475	-14.8912465919336
Yangman	132.499482834737	-15.4142914604687
Gurdanji	135.255653041173	-16.9806170019044
Ngarnga	134.826276848856	-16.4516713651128
Ngalakgan	134.270752949714	-14.2839924593453
Warndarrang	135.345061550562	-15.0429418248007
Nunggubuyu	135.588614302304	-13.8698099037098
Gurindji	129.807598443395	-17.4621128166872
Ngan'giwumirri	130.461310639615	-14.2456392832096
Wolyamidi	127.364422520515	-15.6368840229021
Worla	127.218940021011	-16.4276861870547
Nyikina	124.06084128792	-18.2593989389659
Dalabon	134.029309036443	-13.3162554955191
Jiyil	130.539396807505	-17.2170522056393
Nyininy	128.585672650668	-18.0693398265703
Karrangpurru	131.36063023452	-16.2145583719845
Jiyil	130.539396807505	-17.2170522056393
Jawoyn	133.038460833018	-13.8973004065844
Bilinarra	130.744965471374	-16.9668595669586
Wulwulam	132.054632108459	-13.6417138014315
Kuwarranyji	132.336562193456	-16.7209403469244
Indjilandji	137.462376846023	-19.3270520669166
Indjilandji	137.462376846023	-19.3270520669166
Nguburindi	139.035777367235	-18.5336376717205
Ganggalida	138.751317122597	-17.3412318083925
Lardil	139.458891344919	-16.5643139813705
Garrwa	137.273777445993	-16.8567779183512
Waanyi	137.620870640305	-18.3132416393874
Lardil	139.458891344919	-16.5643139813705
Gunindiri	136.844652169709	-17.6692278051193
Akarre	135.362991750136	-22.8425066689012
Warrmarla	129.747864149097	-20.5094211777077
Ngarnga	134.826276848856	-16.4516713651128
Jawoyn	133.038460833018	-13.8973004065844
Yangman	132.499482834737	-15.4142914604687
Walmajarri	126.151251759487	-19.4673731711322
Yangkaal	138.981143412858	-16.9049066659866
Wambaya	135.431050102664	-18.1730553063265
Binbinga	136.045713148444	-16.3613651166295
Bilinarra	130.744965471374	-16.9668595669586
Ritharrngu	135.396765752146	-12.9761875089536
Ngalakgan	134.270752949714	-14.2839924593453
Alawa	134.479586436952	-15.5236738246179
Mawng	133.364007676024	-11.8138982548734
Iwaidja	132.696220185069	-11.6129471827363
